hypothesis,family,category,test_orig,effect_orig,p_uncorrected_orig,p_BH_orig,sig_BH_orig,test_clean,effect_clean,p_uncorrected_clean,p_BH_clean,sig_BH_clean,delta_effect,delta_p_unc,expected,change
H6,mean_dwell_pct,soldiers,Pearson r,-0.1465345257076694,0.574660328681836,0.574660328681836,False,Pearson r,-0.14854343125783764,0.5693687602761027,0.5693687602761027,False,-0.0020089055501682496,-0.0052915684057333046,-,improved
H6,mean_visits,angry_face,Pearson r,-0.21953596391767094,0.39720516626515384,0.9337708449498487,False,Pearson r,-0.11318457790173272,0.6653633763270925,0.8935794332754757,False,0.10635138601593822,0.2681582100619387,-,regressed
H6,mean_visits,anxiety_inducing,Pearson r,-0.04028139114537176,0.8780078634543766,0.9337708449498487,False,Pearson r,-0.03511008866654792,0.8935794332754757,0.8935794332754757,False,0.005171302478823844,0.015571569821099085,-,regressed
H6,mean_visits,warfare,Pearson r,-0.1400616812589566,0.5918500994601169,0.9337708449498487,False,Pearson r,-0.08562354936013075,0.7438607529865717,0.8935794332754757,False,0.05443813189882585,0.15201065352645482,-,regressed
H6,mean_visits,soldiers,Pearson r,-0.021814441091972156,0.9337708449498487,0.9337708449498487,False,Pearson r,-0.08821942698680943,0.73635098593296,0.8935794332754757,False,-0.06640498589483727,-0.19741985901688874,-,improved
H6,mean_dwell_pct_late,angry_face,Pearson r,-0.30545374937466957,0.23316397450744253,0.46632794901488506,False,Pearson r,-0.2574530838463541,0.3184727296816844,0.42463030624224585,False,0.048000665528315445,0.08530875517424186,-,regressed
H6,mean_dwell_pct_late,anxiety_inducing,Kendall τ_b,-0.3170018865534263,0.08656604485582509,0.34626417942330034,False,Pearson r,-0.31069090966624185,0.22483961713328285,0.42463030624224585,False,0.006310976887184461,0.13827357227745776,-,regressed
H6,mean_dwell_pct_late,warfare,Pearson r,-0.201024014111284,0.43913247596572297,0.4922563123577802,False,Pearson r,-0.28400008116219744,0.26928337176272155,0.42463030624224585,False,-0.08297606705091343,-0.16984910420300142,-,improved
H6,mean_dwell_pct_late,soldiers,Pearson r,-0.1788259024591916,0.4922563123577802,0.4922563123577802,False,Pearson r,-0.17448810448708116,0.502984307616115,0.502984307616115,False,0.004337797972110452,0.010727995258334788,-,regressed
H6,mean_visits_late,angry_face,Pearson r,-0.26715128723613774,0.2999283836457211,0.4881546095182571,False,Pearson r,-0.14543447780238805,0.5775667153113682,0.5775667153113682,False,0.12171680943374968,0.27763833166564705,-,regressed
H6,mean_visits_late,anxiety_inducing,Pearson r,-0.1958901355587236,0.45114861865171024,0.4881546095182571,False,Pearson r,-0.23052448353260496,0.37338280508344474,0.49784374011125965,False,-0.034634347973881374,-0.07776581356826551,-,improved
H6,mean_visits_late,warfare,Pearson r,-0.1804963513719638,0.4881546095182571,0.4881546095182571,False,Pearson r,-0.23220924019495748,0.36980198600471226,0.49784374011125965,False,-0.051712888822993686,-0.11835262351354486,-,improved
H6,mean_visits_late,soldiers,Pearson r,-0.22145968269635372,0.3929765606084766,0.4881546095182571,False,Pearson r,-0.259876656843321,0.3137768271852408,0.49784374011125965,False,-0.03841697414696729,-0.07919973342323577,-,improved
H6,mean_offscreen_pct,angry_face,Pearson r,0.22510094049414306,0.38503986414226476,0.5324141415286451,False,Pearson r,0.20131581365945608,0.4384544911456509,0.6364439419998492,False,-0.023785126834686976,0.05341462700338612,+,regressed
H6,mean_offscreen_pct,anxiety_inducing,Pearson r,0.04523733241326322,0.8631242896180217,0.8631242896180217,False,Pearson r,-0.010795403828223818,0.967199382358007,0.967199382358007,False,-0.05603273624148704,0.10407509273998528,+,regressed
H6,mean_offscreen_pct,warfare,Kendall τ_b,0.16236681994199884,0.38005314431619597,0.5324141415286451,False,Kendall τ_b,0.17783032660314158,0.3363519766191384,0.6364439419998492,False,0.01546350666114274,-0.043701167697057564,+,improved
H6,mean_offscreen_pct,soldiers,Pearson r,0.2185822653279135,0.39931060614648384,0.5324141415286451,False,Kendall τ_b,0.13143980661971333,0.47733295649988694,0.6364439419998492,False,-0.08714245870820017,0.0780223503534031,+,regressed
H6,mean_offscreen_pct_late,angry_face,Pearson r,0.18598258535826617,0.47480063254770594,0.633067510063608,False,Pearson r,0.17107620606168755,0.5114993946877497,0.6819991929169996,False,-0.01490637929657862,0.036698762140043806,+,regressed
H6,mean_offscreen_pct_late,anxiety_inducing,Pearson r,-0.0061981008644642205,0.9811645814834659,0.9811645814834659,False,Pearson r,-0.06993945157189271,0.789677854403029,0.789677854403029,False,-0.06374135070742849,-0.1914867270804369,+,p↓ effect↓
H6,mean_offscreen_pct_late,warfare,Kendall τ_b,0.14690331328085607,0.4270798621957339,0.633067510063608,False,Kendall τ_b,0.16236681994199884,0.38005314431619597,0.6819991929169996,False,0.015463506661142767,-0.04702671787953794,+,improved
